MONTH,DAY,HOUR_ENDING,SETTLEMENT_POINT,PRICE
1,1,1,HB_BUSAVG,20.68
1,1,1,HB_HOUSTON,20.7225
1,1,1,HB_HUBAVG,20.68
1,1,1,HB_NORTH,20.84
1,1,1,HB_PAN,16.436666666666667
1,1,1,HB_SOUTH,20.055
1,1,1,HB_WEST,21.1075
1,1,1,LZ_AEN,22.395
1,1,1,LZ_CPS,21.235
1,1,1,LZ_HOUSTON,20.7275
1,1,1,LZ_LCRA,21.072499999999998
1,1,1,LZ_NORTH,20.85
1,1,1,LZ_RAYBN,20.8575
1,1,1,LZ_SOUTH,19.955
1,1,1,LZ_WEST,23.5875
1,1,2,HB_BUSAVG,18.0125
1,1,2,HB_HOUSTON,18.1625
1,1,2,HB_HUBAVG,18.02
1,1,2,HB_NORTH,18.145
1,1,2,HB_PAN,13.453333333333333
1,1,2,HB_SOUTH,17.417499999999997
1,1,2,HB_WEST,18.36
1,1,2,LZ_AEN,19.6625
1,1,2,LZ_CPS,18.46
1,1,2,LZ_HOUSTON,18.2125
1,1,2,LZ_LCRA,18.405
1,1,2,LZ_NORTH,18.17
1,1,2,LZ_RAYBN,18.175
1,1,2,LZ_SOUTH,17.5025
1,1,2,LZ_WEST,20.975
1,1,3,HB_BUSAVG,17.1275
1,1,3,HB_HOUSTON,17.22
1,1,3,HB_HUBAVG,17.1125
1,1,3,HB_NORTH,17.285
1,1,3,HB_PAN,12.536666666666667
1,1,3,HB_SOUTH,16.56
1,1,3,HB_WEST,17.3825
1,1,3,LZ_AEN,18.762500000000003
1,1,3,LZ_CPS,17.555
1,1,3,LZ_HOUSTON,17.2475
1,1,3,LZ_LCRA,17.4625
1,1,3,LZ_NORTH,17.310000000000002
1,1,3,LZ_RAYBN,17.345
1,1,3,LZ_SOUTH,16.5925
1,1,3,LZ_WEST,19.7775
1,1,4,HB_BUSAVG,15.995000000000001
1,1,4,HB_HOUSTON,16.0525
1,1,4,HB_HUBAVG,15.912500000000001
1,1,4,HB_NORTH,16.18
1,1,4,HB_PAN,10.683333333333332
1,1,4,HB_SOUTH,15.672500000000001
1,1,4,HB_WEST,15.7425
1,1,4,LZ_AEN,17.645000000000003
1,1,4,LZ_CPS,16.435000000000002
1,1,4,LZ_HOUSTON,16.035
1,1,4,LZ_LCRA,16.33
